id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,freetogame_profile_url
198,Creativerse,https://www.freetogame.com/g/198/thumbnail.jpg,"Playful Corporation enters the sandbox, voxel world with their free-to-play title Creativers.",https://www.freetogame.com/open/creativerse,MMO,PC (Windows),Playful Corporation,Playful Corporation,2014-08-12,https://www.freetogame.com/creativerse
479,Blood of Steel,https://www.freetogame.com/g/479/thumbnail.jpg,"Blood of Steel is an online competitive strategy game featuring some of the most well-known figures throughout medieval history. Choose your general – a Crusader, Viking, Ninja or one of those from the Three Kingdoms. Build your kingdom and command armies in epic PvP battles using classic medieval warfare tactics.",https://www.freetogame.com/open/blood-of-steel,Strategy,PC (Windows),YC Games,YC Games,2020-10-20,https://www.freetogame.com/blood-of-steel
12,War Thunder,https://www.freetogame.com/g/12/thumbnail.jpg,A MMO shooter that puts you in command of hundreds of the finest combat vehicles of World War II.,https://www.freetogame.com/open/war-thunder,Shooter,PC (Windows),Gaijin Entertainment,Gaijin Entertainment,2013-08-15,https://www.freetogame.com/war-thunder
32,Champions Of Titan,https://www.freetogame.com/g/32/thumbnail.jpg,A free-to-play sci-fi MMORPG from IDC/Games. ,https://www.freetogame.com/open/champions-of-titan,MMORPG,PC (Windows),IDC/Games,Insel Games,2017-12-14,https://www.freetogame.com/champions-of-titan
205,Elsword,https://www.freetogame.com/g/205/thumbnail.jpg,A Free to Play 3D side scrolling action MMORPG with many heroes.,https://www.freetogame.com/open/elsword,MMORPG,PC (Windows),KOG Games,KOG,2011-03-23,https://www.freetogame.com/elsword
288,Champions Online,https://www.freetogame.com/g/288/thumbnail.jpg,A superhero MMORPG created by the same studio behind City of Heroes.,https://www.freetogame.com/open/champions-online,MMORPG,PC (Windows),Perfect World Entertainment,Cryptic Studios,2009-09-01,https://www.freetogame.com/champions-online
337,Priston Tale,https://www.freetogame.com/g/337/thumbnail.jpg,A free to play action-oriented fantasy MMORPG!,https://www.freetogame.com/open/priston-tale,MMORPG,PC (Windows),Suba Games,Trglow Pictures,2007-05-17,https://www.freetogame.com/priston-tale
130,SNOW,https://www.freetogame.com/g/130/thumbnail.jpg,"A free-to-play skiing and snowboarding game, compete solo or with friends in multiplayer modes.",https://www.freetogame.com/open/snow,Sports,PC (Windows),Poppermost Productions,Poppermost Productions,2016-01-27,https://www.freetogame.com/snow
136,VEGA Conflict,https://www.freetogame.com/g/136/thumbnail.jpg,A Cross-Platform free to play 2D sci-fi strategy MMO.,https://www.freetogame.com/open/vega-conflict,Strategy,PC (Windows),KIXEYE,KIXEYE,2015-12-15,https://www.freetogame.com/vega-conflict
451,Rise of Legions,https://www.freetogame.com/g/451/thumbnail.jpg,A free-to-play fantasy RTS developed by Broken Games and published by Crunchy Leaf Games. ,https://www.freetogame.com/open/rise-of-legions,Strategy,PC (Windows),Crunchy Leaf Games,Broken Games,2019-08-30,https://www.freetogame.com/rise-of-legions
13,Guild Wars 2,https://www.freetogame.com/g/13/thumbnail.jpg,"A free-to-play MMORPG, the follow-up to ArenaNet's popular Guild Wars. ",https://www.freetogame.com/open/guild-wars-2,MMORPG,PC (Windows),NCsoft,ArenaNet,2012-08-28,https://www.freetogame.com/guild-wars-2
184,Blockade 3D,https://www.freetogame.com/g/184/thumbnail.jpg,A free to play FPS in an editable procedural world.,https://www.freetogame.com/open/blockade-3d,Shooter,PC (Windows),Shumkov Dmitriy,Shumkov Dmitriy,2014-11-05,https://www.freetogame.com/blockade-3d
278,Mortal Online,https://www.freetogame.com/g/278/thumbnail.jpg,A unique free to play First Person sandbox MMORPG.,https://www.freetogame.com/open/mortal-online,MMORPG,PC (Windows),Star Vault AB ,Star Vault AB ,2010-06-09,https://www.freetogame.com/mortal-online
67,Awesomenauts,https://www.freetogame.com/g/67/thumbnail.jpg,A 3v3 2D battle arena Developed by Ronimo games.,https://www.freetogame.com/open/awesomenauts,MOBA,PC (Windows),Ronimo Games,Ronimo Games,2017-05-24,https://www.freetogame.com/awesomenauts
125,Atom Universe,https://www.freetogame.com/g/125/thumbnail.jpg,A free-to-play multiplayer online social Virtual World set in a theme park.,https://www.freetogame.com/open/atom-universe,Social,PC (Windows),Atom Republic,Atom Republic,2016-02-27,https://www.freetogame.com/atom-universe
258,APB Reloaded,https://www.freetogame.com/g/258/thumbnail.jpg,A free to play 3D MMO third person shooter game brought to you by GTA creator.,https://www.freetogame.com/open/apb,Shooter,PC (Windows),Reloaded Games,Reloaded Productions,2010-06-29,https://www.freetogame.com/apb
295,Florensia,https://www.freetogame.com/g/295/thumbnail.jpg,"A free to play fantasy MMORPG with legendary worlds ashore and at 
sea.",https://www.freetogame.com/open/florensia,MMORPG,PC (Windows),Netts Corporation,Netts Corporation,2008-10-15,https://www.freetogame.com/florensia
60,Brink,https://www.freetogame.com/g/60/thumbnail.jpg,"A free-to-play first-person-shoot developed by Splash 
Damage and published by Bethesda Softworks. ",https://www.freetogame.com/open/brink,Shooter,PC (Windows),Bethesda Softworks,Splash Damage,2011-05-09,https://www.freetogame.com/brink
265,9Dragons,https://www.freetogame.com/g/265/thumbnail.jpg,A martial arts themed MMORPG set in China during the Ming Dynasty.,https://www.freetogame.com/open/9dragons,MMORPG,PC (Windows),Battlezone,JoongWon Games,2007-05-09,https://www.freetogame.com/9dragons
64,Secret World Legends,https://www.freetogame.com/g/64/thumbnail.jpg,A free-to-play reboot of The Secret World. ,https://www.freetogame.com/open/secret-world-legends,MMORPG,PC (Windows),Funcom,Funcom,2017-07-31,https://www.freetogame.com/secret-world-legends
336,Anarchy Online,https://www.freetogame.com/g/336/thumbnail.jpg,A free to play Sci-Fi MMO that has withstood the test of time.,https://www.freetogame.com/open/anarchy-online,MMORPG,PC (Windows),Funcom,Funcom,2001-06-27,https://www.freetogame.com/anarchy-online
203,Robocraft,https://www.freetogame.com/g/203/thumbnail.jpg,A free-to-play MMO sandbox building game! ,https://www.freetogame.com/open/robocraft,MMO,PC (Windows),Freejam,Freejam,2014-07-08,https://www.freetogame.com/robocraft
94,Battlerite,https://www.freetogame.com/g/94/thumbnail.jpg,A free-to-play team arena brawler developed by Stunlock Studios. Players play as one of several available champions on teams in 2v2 or 3v3 matches. ,https://www.freetogame.com/open/battlerite,MOBA,PC (Windows),Stunlock Studios,Stunlock Studios,2016-09-21,https://www.freetogame.com/battlerite
435,Battle Breakers,https://www.freetogame.com/g/435/thumbnail.jpg,A multi-platform free-to-play RPG developed and published by Epic Games for PC and Android devices.  ,https://www.freetogame.com/open/battlebreakers,Strategy,PC (Windows),Epic Games,Epic Games,2019-11-13,https://www.freetogame.com/battlebreakers
192,WAKFU,https://www.freetogame.com/g/192/thumbnail.jpg,"A 2D tactical turn-based fantasy MMORPG developed by Ankama Games, in conjunction with Square Enix.",https://www.freetogame.com/open/wakfu,MMORPG,PC (Windows),Ankama Games,Ankama Studio,2014-09-19,https://www.freetogame.com/wakfu
300,Rohan: Blood Feud,https://www.freetogame.com/g/300/thumbnail.jpg,A free-to-play medieval MMORPG highly-focused on PVP.,https://www.freetogame.com/open/rohan-blood-feud,MMORPG,PC (Windows),Playwith Interactive,Playwith Interactive,2008-05-28,https://www.freetogame.com/rohan-blood-feud
329,Kal Online,https://www.freetogame.com/g/329/thumbnail.jpg,A Korean Fantasy MMORPG developed by Inixsoft.,https://www.freetogame.com/open/kalonline,MMORPG,PC (Windows),Inisxoft,Inisxoft,2004-06-11,https://www.freetogame.com/kalonline
504,Magic: Legends,https://www.freetogame.com/g/504/thumbnail.jpg,The world of Magic comes to life in Perfect World Entertainment and Cryptic’s Online Action RPG Magic: Legends. ,https://www.freetogame.com/open/magic-legends,ARPG,PC (Windows),Perfect World Entertainment,Cryptic,2018-11-23,https://www.freetogame.com/magic-legends
159,Codename CURE,https://www.freetogame.com/g/159/thumbnail.jpg,"A free to play 3D MMOFPS featuring cooperative play, and objective-based missions.",https://www.freetogame.com/open/codename-cure,Shooter,PC (Windows),Hoobalugalar_X,Hoobalugalar_X,2015-07-18,https://www.freetogame.com/codename-cure
167,Salem,https://www.freetogame.com/g/167/thumbnail.jpg,"A free-to-play, sandbox type MMO based on the times and trials of living.",https://www.freetogame.com/open/salem,MMORPG,PC (Windows),Mortal Moments,John Carver,2015-06-19,https://www.freetogame.com/salem
441,Legends of Runeterra,https://www.freetogame.com/g/441/thumbnail.jpg,A free-to-play CCG based on Riot Games' MOBA League of Legends.,https://www.freetogame.com/open/runeterra,Card Game,PC (Windows),Riot Games,Riot Games,2020-01-24,https://www.freetogame.com/runeterra
261,No More Room in Hell,https://www.freetogame.com/g/261/thumbnail.jpg,A free to play cooperative FPS survival horror mod for the Source Engine.,https://www.freetogame.com/open/no-more-room-in-hell,Shooter,PC (Windows),Lever Games,No More Room in Hell Team,2011-10-31,https://www.freetogame.com/no-more-room-in-hell
280,WolfTeam,https://www.freetogame.com/g/280/thumbnail.jpg,A free to play MMOFPS with a twist.,https://www.freetogame.com/open/wolfteam,Shooter,PC (Windows),Aeria Games,Softnyx,2009-07-09,https://www.freetogame.com/wolfteam
217,Smite,https://www.freetogame.com/g/217/thumbnail.jpg,A popular free-to-play 3D MOBA where you take on the role of an ancient god.,https://www.freetogame.com/open/smite,MOBA,PC (Windows),Hi-Rez Studios,Hi-Rez Studios,2014-03-25,https://www.freetogame.com/smite
502,Primordials: Battle of Gods,https://www.freetogame.com/g/502/thumbnail.jpg,Build armies and fight for control of the realm in Global Dodo Entertainment’s 1v1 strategy game Primordials: Battle of Gods. ,https://www.freetogame.com/open/primordials-battle-of-gods,Strategy,PC (Windows),Wire Games,Global Dodo Entertainment,2021-03-04,https://www.freetogame.com/primordials-battle-of-gods
325,MapleStory,https://www.freetogame.com/g/325/thumbnail.jpg,"A popular free-to-play 2D side-scrolling MMORPG with tons of quests, and a huge game world!",https://www.freetogame.com/open/maplestory,MMORPG,PC (Windows),Nexon,Wizet,2005-05-11,https://www.freetogame.com/maplestory
275,Dragon Saga,https://www.freetogame.com/g/275/thumbnail.jpg,A free to play arcade­-style side­-scrolling 3D MMORPG.,https://www.freetogame.com/open/dragon-saga,MMORPG,PC (Windows),Gravity Interactive,Gravity Interactive,2010-10-28,https://www.freetogame.com/dragon-saga
28,Spacelords,https://www.freetogame.com/g/28/thumbnail.jpg,A free-to-play 4v1 sci-fi shooter. ,https://www.freetogame.com/open/spacelords,Shooter,PC (Windows), MercurySteam Entertainment,MercurySteam,2018-09-22,https://www.freetogame.com/spacelords
316,Scions of Fate,https://www.freetogame.com/g/316/thumbnail.jpg,A friendly free to play MMORPG with easy to pick up controls.,https://www.freetogame.com/open/scions-of-fate,MMORPG,PC (Windows),NETGAME Inc,MGAME Corporation,2018-01-30,https://www.freetogame.com/scions-of-fate
277,Aika Online,https://www.freetogame.com/g/277/thumbnail.jpg,A free-to-play MMORPG with large scale PvP battles.,https://www.freetogame.com/open/aika-online,MMORPG,PC (Windows),HanbitSoft,JoyImpact,2010-08-27,https://www.freetogame.com/aika-online
88,Shadowverse,https://www.freetogame.com/g/88/thumbnail.jpg,A free-to-play strategic CCG developed and published by Cygamesm the creators of Rage of Bahamut and Granblu Fantasy. ,https://www.freetogame.com/open/shadowverse,Card Game,PC (Windows),"Cygames, Inc.","Cygames, Inc.",2016-10-28,https://www.freetogame.com/shadowverse
89,AdventureQuest 3D,https://www.freetogame.com/g/89/thumbnail.jpg,A free to play cross-platform MMORPG from the creators of the original 2D RPG game.,https://www.freetogame.com/open/adventurequest-3d,MMORPG,PC (Windows),Artix Entertainment,Artix Entertainment,2016-10-19,https://www.freetogame.com/adventurequest-3d
149,America’s Army: Proving Grounds,https://www.freetogame.com/g/149/thumbnail.jpg,"Take a first person shooter, have the game developed by the U.S. Army and you’ve got America’s Army.",https://www.freetogame.com/open/americas-army,Shooter,PC (Windows),U.S. Army,U.S. Army,2015-10-01,https://www.freetogame.com/americas-army
254,AION,https://www.freetogame.com/g/254/thumbnail.jpg,"A high fantasy, free-to-play MMORPG that centers on the war between the game’s two factions: The Asmodians and the Elyos.",https://www.freetogame.com/open/aion,MMORPG,PC (Windows),NCSOFT,NCSOFT,2008-11-25,https://www.freetogame.com/aion
58,The Ultimatest Battle,https://www.freetogame.com/g/58/thumbnail.jpg,A free-to-play 2D platform game that pits two teams of players against each other in a variety of modes. ,https://www.freetogame.com/open/the-ultimatest-battle,Fighting,PC (Windows),Ediogames,Ediogames,2017-09-12,https://www.freetogame.com/the-ultimatest-battle
93,Riding Club Championships,https://www.freetogame.com/g/93/thumbnail.jpg,An online competitive horse riding game inspired by traditional equestrian disciplines. ,https://www.freetogame.com/open/riding-club-championships,Racing,PC (Windows),Artplant,Artplant,2016-09-27,https://www.freetogame.com/riding-club-championships
116,Tree of Savior,https://www.freetogame.com/g/116/thumbnail.jpg,"A fantasy 3D MMORPG with a massive freedom of choice, cute looking characters and a distinct art style. ",https://www.freetogame.com/open/tree-of-savior,MMORPG,PC (Windows),IMC Games,IMC Games,2016-05-10,https://www.freetogame.com/tree-of-savior
267,Mission Against Terror,https://www.freetogame.com/g/267/thumbnail.jpg,A free to play fast-paced lobby-based MMOFPS with lots of game modes and tons of weapons.,https://www.freetogame.com/open/mat,Shooter,PC (Windows),Suba Games,Kingsoft,2011-07-08,https://www.freetogame.com/mat
47,Bombtag,https://www.freetogame.com/g/47/thumbnail.jpg,A free-to-play multiplayer Bomberman-inspired game.,https://www.freetogame.com/open/bombtag,Strategy,PC (Windows),David Schneider,David Schneider,2018-02-12,https://www.freetogame.com/bombtag
320,Dungeons and Dragons Online,https://www.freetogame.com/g/320/thumbnail.jpg,A free-to-play MMORPG based on the beloved D&D RPG that started it all.,https://www.freetogame.com/open/dungeons-dragons-online,MMORPG,PC (Windows),Warner Bros. Interactive Entertainment,"Turbine, Inc.",2006-02-28,https://www.freetogame.com/dungeons-dragons-online
202,Heroes & Generals,https://www.freetogame.com/g/202/thumbnail.jpg,"A World War II-based MMOFPS that mixes infantry, armor, and aircraft.",https://www.freetogame.com/open/heroes-and-generals,Shooter,PC (Windows),Reto-Moto,Reto-Moto,2014-07-11,https://www.freetogame.com/heroes-and-generals
209,Freestyle2: Street Basketball,https://www.freetogame.com/g/209/thumbnail.jpg,A free to play MMO street basketball game. Team up with the best street ballers! ,https://www.freetogame.com/open/freestyle2-street-basketball,Sports,PC (Windows),Joycity,Joycity,2014-06-20,https://www.freetogame.com/freestyle2-street-basketball
231,Panzar,https://www.freetogame.com/g/231/thumbnail.jpg,"A free-to-play multiplayer third-person shooter with 
rpg elements and CryEngine 3 powered 
graphics.",https://www.freetogame.com/open/panzar,MOBA,PC (Windows),Panzar,Troxit Service,2013-04-12,https://www.freetogame.com/panzar
169,Dirty Bomb,https://www.freetogame.com/g/169/thumbnail.jpg,A free-to-play first person shooter multiplayer game set in a post-apocalyptic London.,https://www.freetogame.com/open/dirty-bomb,Shooter,PC (Windows),"
Warchest Ltd.",Splash Damage,2015-06-01,https://www.freetogame.com/dirty-bomb
313,Teeworlds,https://www.freetogame.com/g/313/thumbnail.jpg,A free to play retro multiplayer online shooter where you can even design your own maps!,https://www.freetogame.com/open/teeworlds,Shooter,PC (Windows),Teeworlds Team ,Teeworlds Team ,2007-05-27,https://www.freetogame.com/teeworlds
71,Catan Universe,https://www.freetogame.com/g/71/thumbnail.jpg,A free-to-play strategy game based on the classic board and card games. ,https://www.freetogame.com/open/catan-universe,Card Game,PC (Windows),United Soft Media,Exozet,2017-04-25,https://www.freetogame.com/catan-universe
333,Metin2,https://www.freetogame.com/g/333/thumbnail.jpg,A classic free to play 3D MMORPG with a retro feel.,https://www.freetogame.com/open/metin2,MMORPG,PC (Windows),Gameforge,Ymir Entertainment,2006-12-17,https://www.freetogame.com/metin2
112,Weapons Of Mythology,https://www.freetogame.com/g/112/thumbnail.jpg,A 3D free-to-play fantasy MMORPG published by IDC/Games. ,https://www.freetogame.com/open/weapons-of-mythology,MMORPG,PC (Windows),IDC/Games,Gamemag,2016-06-07,https://www.freetogame.com/weapons-of-mythology
298,Perfect World International,https://www.freetogame.com/g/298/thumbnail.jpg,"A free-to-play fantasy MMORPG, that focuses heavily on Chinese mythology.",https://www.freetogame.com/open/pwi,MMORPG,PC (Windows),"Beijing Perfect World, Perfect World Entertainment",Beijing Perfect World,2008-09-02,https://www.freetogame.com/pwi
499,Slapshot: Rebound,https://www.freetogame.com/g/499/thumbnail.jpg,"Do you like hockey? How about physic-based multiplayer, arcade-style sports games with cute graphics? Well, this is the one for you.",https://www.freetogame.com/open/slapshot-rebound,Sports,PC (Windows),Oddshot Games,Oddshot Games,2020-12-07,https://www.freetogame.com/slapshot-rebound
33,Caller’s Bane,https://www.freetogame.com/g/33/thumbnail.jpg,The free-to-play reboot of Mojang's card/board game Scrolls. ,https://www.freetogame.com/open/callers-bane,Card Game,PC (Windows),Mojang AB,Mojang AB,2018-06-21,https://www.freetogame.com/callers-bane
307,Shaiya,https://www.freetogame.com/g/307/thumbnail.jpg,A free to play 3D MMORPG similar to World of Warcraft and Lineage 2.,https://www.freetogame.com/open/shaiya,MMORPG,PC (Windows),Aeria Games,Aeria Games,2007-12-24,https://www.freetogame.com/shaiya
92,One Tower,https://www.freetogame.com/g/92/thumbnail.jpg,"A unique 1v1 MOBA known as a ""micro-moba"" developed and published by SkyReacher following a successful Kickstarter. ",https://www.freetogame.com/open/one-tower,MOBA,PC (Windows),SkyReacher Entertainment,SkyReacher Entertainment,2016-11-11,https://www.freetogame.com/one-tower
110,UFO Online: Invasion,https://www.freetogame.com/g/110/thumbnail.jpg,"A free-to-play post-apocalyptic, turn-based tactical combat 
MMO developed by Bad Pixel. ",https://www.freetogame.com/open/ufo-online-invasion,MMORPG,PC (Windows),Bad Pixel,Bad Pixel,2016-06-08,https://www.freetogame.com/ufo-online-invasion
199,Royal Quest,https://www.freetogame.com/g/199/thumbnail.jpg,"A free to play fantasy MMORPG game with unique PvPvE locations, PvP Arenas, Battlegrounds and Castle Sieges. ",https://www.freetogame.com/open/royal-quest,MMORPG,PC (Windows),1C Online Games ,Katauri ,2014-08-06,https://www.freetogame.com/royal-quest
238,Tera,https://www.freetogame.com/g/238/thumbnail.jpg,A free to play action-packed MMORPG with real-time Combat!,https://www.freetogame.com/open/tera,MMORPG,PC (Windows),En Masse Entertainment,Bluehole Studio,2013-02-05,https://www.freetogame.com/tera
505,Mythgard,https://www.freetogame.com/g/505/thumbnail.jpg,"Rhino Games Inc.’s CCG Mythgard combines cyberpunk with the heroes, gods, and creatures of the fantasy in a modern setting to create a world where magic competes against technology for control.",https://www.freetogame.com/open/mythgard,Card,PC (Windows),Rhino Games Inc.,Rhino Games Inc.,2019-09-18,https://www.freetogame.com/mythgard
30,Quake Champions,https://www.freetogame.com/g/30/thumbnail.jpg,"Quake Champions is a callback to the early days of the Quake IP, featuring the fast-paced action that made the IP popular over two decades ago. ",https://www.freetogame.com/open/quake-champions,Shooter,PC (Windows),Bethesda Softworks,id Software,2017-08-22,https://www.freetogame.com/quake-champions
182,Dungeon Defenders 2,https://www.freetogame.com/g/182/thumbnail.jpg,A free-to-play cooperative 3D tower-defense game by Trendy Entertainment.,https://www.freetogame.com/open/dungeon-defenders-2,Shooter,PC (Windows),Trendy Entertainment,Trendy Entertainment,2014-12-05,https://www.freetogame.com/dungeon-defenders-2
31,Cosmos Invictus,https://www.freetogame.com/g/31/thumbnail.jpg,A strategic collectible card game developed and published by Pegnio Ltd. ,https://www.freetogame.com/open/cosmos-invictus,Card Game,PC (Windows),Pegnio Ltd,Pegnio Ltd,2018-06-27,https://www.freetogame.com/cosmos-invictus
70,Alien Swarm: Reactive Drop,https://www.freetogame.com/g/70/thumbnail.jpg,A free-to-play top-down tactical co-op expansion on the Alien swarm game and Source SDK.,https://www.freetogame.com/open/alien-swarm-reactive-drop,Shooter,PC (Windows),Reactive Drop,Reactive Drop,2017-04-20,https://www.freetogame.com/alien-swarm-reactive-drop
461,Shop Titans,https://www.freetogame.com/g/461/thumbnail.jpg,A free-to-play RPG shopkeeper simulation game where you are responsible for designing and maintaining your own shop.,https://www.freetogame.com/open/shop-titans,Strategy,PC (Windows),"Kabam Games, Inc.","Kabam Games, Inc.",2020-05-05,https://www.freetogame.com/shop-titans
279,Heroes of Newerth,https://www.freetogame.com/g/279/thumbnail.jpg,A free-to-play MOBA game originally created by S2 Games.,https://www.freetogame.com/open/heroes-of-newerth,MOBA,PC (Windows),S2 Games,S2 Games,2010-05-12,https://www.freetogame.com/heroes-of-newerth
324,Dream of Mirror Online,https://www.freetogame.com/g/324/thumbnail.jpg,A free to play fantasy MMORPG with tons of social features.,https://www.freetogame.com/open/domo,MMORPG,PC (Windows),SubaGames,SoftStar,2005-09-03,https://www.freetogame.com/domo
